Country,Covid2020,Covid2021,Covid2022,Covid2023,Total
United Kingdom,173654605,2245399868,8031485599,1667731607,22568811751
Uruguay,762054,98926667,329160218,70075141,927773019
Uzbekistan,9683839,46375071,87045819,17037012,303246470
Vanuatu,52,1368,2964263,816948,6748314
Venezuela,12300226,99533919,191843867,37501017,644857041
Vietnam,219337,135539309,3395033974,783798750,7845383990
West Bank and Gaza,8753200,115974691,239996301,47819504,777267888
Winter Olympics 2022,0,0,178082,36380,392544
Yemen,382306,2403947,4280922,812260,14946610
Zambia,2433883,52593029,117791992,23134779,368772587
Zimbabwe,1336283,30065437,91162924,17820642,262949930
