Country,Covid2020,Covid2021,Covid2022,Covid2023,Total
Thailand,15565,2687780,10654316,2300892,15658553
Timor-Leste,0,16971,48339,9384,74694
Togo,8764,56718,101298,19720,186500
Tonga,0,0,3267,873,4140
Trinidad and Tobago,13090,339736,1433525,293862,2080213
Tunisia,225290,5980789,10399324,1993001,18598404
Turkey,2063533,18166329,35677396,6901456,62808714
US,46811911,223468753,368125532,75471019,713877215
Uganda,16752,614221,1312672,246840,2190485
Ukraine,1240038,19421018,41967357,8092188,70720601
United Arab Emirates,99619,623527,843882,159684,1726712
United Kingdom,15831662,56610145,73447892,14946978,160836677
Uruguay,12265,1470792,2637291,517023,4637371
Uzbekistan,75614,332793,592902,111316,1112625
Vanuatu,0,255,3732,952,4939
Venezuela,106495,1141073,2085017,397462,3730047
Vietnam,4908,2936699,15332101,2936648,21210356
West Bank and Gaza,74921,1251129,2040515,388144,3754709
Yemen,108944,480906,778784,146812,1515446
Zambia,53042,849928,1453709,275043,2631722
Zimbabwe,36683,1029500,2010155,384379,3460717
